rank,score,types,regions,title,actors
33,9.0,"喜剧,奇幻",美国,西力传,"伍迪·艾伦,米亚·法罗,帕特里克霍根,马文恰特诺弗,保罗·内文斯,Howard Erskine,George Hamlin,Ralph Bell,理查德·怀廷,Edward McPhillips,盖尔·汉森,迈克尔·杰特,皮特·麦克罗比,Sol Lomita,玛丽·路易丝·威尔逊,Alice Beardsley,葆拉·特鲁曼,Marianne Tatum,Michael Kell,约翰·罗斯曼,Stephanie Farrow,黛伯拉·拉什,Stanley Simmonds,Robert Berger,雅尼娜·杰克逊,约翰·多马尼安,威利霍尔特,苏珊·桑塔格,欧文·豪,索尔·贝娄,Bricktop,Bruno Bettelheim,John Morton Blum,Ellen Garrison,Theodore R. Smits,Kuno Sponholz,Ed Herlihy,Dwight Weist,Gordon Gould,Wendell Craig,马克斯·阿曼,Arthur Anderson,乔瑟芬·贝克,迈克尔·布莱文斯,范妮·布莱斯,Wilhelm Brückner,詹姆斯·卡格尼,阿尔·卡彭,查理·卓别林,约翰·卡尔文·柯立芝,玛丽恩·戴维斯,朵乐丝·德里奥,Sepp Dietrich,乔·狄马乔,玛丽·杜丝勒,F·司各特·菲茨杰拉德,Lou Gehrig,约瑟夫·戈培尔,Harold 'Red' Grange,赫尔曼·戈林,William Randolph Hearst,鲁道夫·赫斯,阿道夫·希特勒,Bobby Jones,Elizabeth Kaitan,Robert Ley,Charles A. Lindbergh,卡洛·朗白,阿道夫·门吉欧,汤姆·米克斯,梅·奎斯特尔"
34,9.0,"动画,喜剧","美国,英国",欢乐树的朋友们：第一滴血,"沃伦·格拉夫,Liz Stuart,Rhode Montijo,凯恩·纳瓦罗"
35,9.0,"喜剧,犯罪,剧情,奇幻","意大利,英国,南斯拉夫",流浪者之歌,"达沃尔·杜伊莫维奇,博拉·托德洛维奇,Ajnur Redzepi,Mirsad Zulic,Suada Karisik,Elvira Sali,Husnija Hasimovic,扎比特·梅梅托夫,鲁比卡·艾德维奇,Sinolicka Trpkova,Boris Juh,普雷德拉格·拉科维奇,Marjeta Gregorac,布兰科·德约里奇,Sedrije Halim"
36,9.0,"喜剧,剧情",日本,木更津猫眼 世界系列,"冈田准一,樱井翔,冈田义德,佐藤隆太,塚本高史,酒井若菜,森下爱子,雷德吉田,阿部隆史,三宅弘城,桐谷健太,森下能幸,渡边一计,高田纯次,小日向文世,药师丸博子,田岛大辅,栗山千明,山口智充,古田新太,平岩纸"
37,9.0,喜剧,英国,小不列颠：现场版,"大卫·威廉姆斯,马特·卢卡斯,汤姆·贝克,安东尼·海德,Paul Putner"
38,9.0,喜剧,日本,日本之形,"齐木茂,山咲千里,片桐仁,小林贤太郎"
39,8.9,"剧情,喜剧,传记",美国,绿皮书,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫,迈克·哈顿,P·J·伯恩,乔·柯蒂斯,玛姬·尼克松,冯·刘易斯,乔恩·索特兰,唐·斯达克,安东尼·曼加诺,保罗·斯隆,珍娜·劳伦索,肯尼斯·以色列,伊克博·塞巴,尼克·瓦莱隆加,大卫·安,迈克·切罗内,杰拉尔丁·辛格,马丁·巴特斯·布拉德福德,格拉伦·布莱恩特·班克斯,汤姆·维图,夏恩·帕特洛,丹尼斯·W·霍尔,吉姆·克洛克,戴恩·罗兹,布赖恩·斯特帕尼克,乔恩·迈克尔·戴维斯,布莱恩·海耶斯·库瑞,托尼亚·马尔多纳多,加文·莱尔·弗雷,奎恩·达菲,哈里森·斯通,比利·布里德,莱斯利·卡斯泰,克雷格·迪弗朗西亚,Frank Vallelonga"
40,8.9,"剧情,喜剧,动画",澳大利亚,玛丽和马克思,"托妮·科莱特,菲利普·塞默·霍夫曼,巴瑞·哈姆弗莱斯,艾瑞克·巴纳,贝塔尼·维特莫尔,蕾妮·盖耶,伊恩·莫利·梅尔德伦,朱莉·福塞斯,约翰·弗劳思,克里斯托弗·马西,卡罗琳·莎士比亚-艾伦,琳恩·史密斯,Michael Ienna"
41,8.9,"剧情,喜剧,爱情,同性,家庭","台湾,美国",喜宴,"赵文瑄,郎雄,归亚蕾,金素梅,米切尔·利希藤斯坦,杨元提,李淳,李安,迈克尔·加斯顿,许永德,汉娜·沙利文,姚培德"
42,8.9,"喜剧,战争","法国,英国",虎口脱险,"路易·德·菲奈斯,布尔维尔,克劳迪奥·布鲁克,安德丽·帕里西,科莱特·布罗塞,迈克·马歇尔,玛丽·马凯,皮埃尔·贝尔坦,本诺·施特岑巴赫,玛丽·杜布瓦,特里-托马斯,西戈德·拉普,赖因哈德·科尔德霍夫,赫尔穆特·施奈德,保罗·普雷博伊斯特,汉斯·迈尔,居伊·格罗索,米歇尔·莫多,彼得·雅各布,吕迪·勒努瓦,诺埃尔·达扎尔,皮埃尔·鲁塞尔,皮埃尔·巴斯蒂安,雅克·萨布隆,玛格·阿夫里尔,雅克·博杜因,加布里埃尔·戈班,保罗·梅塞,亨利·热内斯,严崇德,尚华,童自荣,于鼎"
