rank,score,types,regions,title,actors
26,8.8,"犯罪,悬疑,恐怖",德国,卡里加里博士的小屋,"维尔纳·克劳斯,康拉德·韦特,弗里德里希·费赫尔"
27,8.8,"剧情,悬疑","匈牙利,意大利,德国,法国",鲸鱼马戏团,"拉尔斯·鲁道夫,彼得·菲茨,汉娜·许古拉,亚诺什·代尔日,焦科·罗西奇,塔马斯·维兹曼,费伦茨·卡洛伊,米哈伊·科莫斯,普吉·霍瓦特,埃妮克·伯尔彻克,埃娃·奥尔马希·奥尔贝特,Irén Szajki,奥尔弗雷德·亚劳伊,György Barkó,Lajos Dobák,安德拉斯·费克特,彼得·多鲍伊,Géza Balkay,考蒂·拉扎尔,拉斯洛·费卢戈希,久洛·保尔,班纳·米霍克,Mátyás Dráfi,约瑟夫·罗伯戈,Erika Horineczky,Tibor Komáromi"
28,8.7,"剧情,犯罪,悬疑,惊悚",美国,消失的爱人,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯,凯莉·库恩,泰勒·派瑞,金·迪肯斯,米西·派勒,波伊德·霍布鲁克,艾米丽·拉塔科斯基,雪拉·渥德,派屈克·福吉特,斯科特·麦克纳里,凯西·威尔逊,李·诺里斯,罗拉·科克,凯瑟琳·罗斯·帕金斯,大卫·科列侬,莱昂纳德·凯利-扬,南希·德马尔斯"
29,8.7,"剧情,悬疑,惊悚",美国,致命ID,"约翰·库萨克,雷·利奥塔,阿曼达·皮特,阿尔弗雷德·莫里纳,克里·杜瓦尔,约翰·浩克斯,约翰·C·麦金雷,杰克·布塞,Joe Hart,普路特·泰勒·文斯,布莱特·罗尔,马特·莱斯切尔,Michael Hirsch,霍尔姆斯·奥斯本,弗雷德里克·科芬,泰伦斯·伯尼·海恩斯 ,马绍尔·贝尔,卡门·阿尔根齐亚诺,莱拉·肯泽尔,瑞贝卡·德·莫妮,威廉姆·李·斯科特"
30,8.7,"剧情,悬疑,奇幻,冒险","美国,英国",哈利·波特与死亡圣器(下),"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,海伦娜·伯翰·卡特,拉尔夫·费因斯,艾伦·瑞克曼,玛吉·史密斯,汤姆·费尔顿,邦妮·怀特,朱丽·沃特斯,迈克尔·刚本,伊文娜·林奇,多姆纳尔·格里森,克蕾曼丝·波西,詹森·艾萨克,海伦·麦克洛瑞,马修·刘易斯,梁佩诗,约翰·赫特,大卫·休里斯,加里·奥德曼,吉姆·布劳德本特,艾玛·汤普森,娜塔丽·特纳,蒂莫西·斯波,大卫·布拉德利,罗彼·考特拉尼,凯莉·麦克唐纳,塞伦·希德,亚瑟·博文,艾芙珊·阿扎德,伊莎贝拉·拉夫兰德,Catherine Laine,Aaron Virdee,艾莉·达塞·阿登,杰西·卡芙,乔治娜·雷尼达斯,弗雷迪·史卓玛,杰玛·琼斯,赫柏·贝尔德索尔,卢克·纽伯里,瑞恩·特纳,萨缪尔·劳金,博迪·吉尔伯特,本尼迪特·卡拉克,沃维克·戴维斯,鲁斯迪·戈夫,本·诺斯弗德,肖恩·比格斯代夫,拉德·舍博德兹加,尼克·莫兰,詹姆斯·菲尔浦斯,奥利弗·费尔普斯,阿德里安·劳林斯,Natalie Hallam,David Decio,乔恩·坎普林,斯嘉丽·布莱尼,安娜·谢弗,大卫·勒格诺,托比·琼斯,盖伊·亨利,克里斯·兰金,戴文·穆雷,杰拉丁·萨莫维尔,米瑞安·玛格莱斯,西蒙·迈克伯尼,Ryan Butcher"
31,8.7,"剧情,犯罪,悬疑",韩国,恐怖直播,"河正宇,李璟荣,全慧珍,李大为,崔正贤,崔代勋,姜信哲,韩成天,孙成灿,金弘波,金素真,金大明,金海仁"
32,8.7,"犯罪,剧情,悬疑,惊悚",韩国,杀人回忆,"宋康昊,金相庆,金雷河,宋在浩,朴努植,朴海日,边熙峰,高瑞熙,郑仁仙,申文成,廉惠兰,朴镇宇,權炳吉,李东勇,吴龙,崔钟律,孙康国,金周灵,趙德濟,柳泰浩,徐永嬅,全美善,刘承睦,李在应"
33,8.7,"悬疑,惊悚,恐怖",美国,电锯惊魂,"雷·沃纳尔,加利·艾尔维斯,丹尼·格洛弗,肯·梁,迪娜·迈耶,迈克·巴特斯,保罗·古德勒支,迈克尔·爱默生,本尼托·马丁内斯,肖妮·史密斯,麦肯兹·韦加,莫妮卡·波特,耐德·巴拉米,亚丽姗卓·全,托宾·贝尔,汉斯·雷斯,奥伦·科尔斯"
34,8.7,"剧情,犯罪,悬疑",中国大陆,心迷宫,"霍卫民,王笑天,罗芸,杨瑜珍,孙黎,邵胜杰,曹西安,贾致钢,朱自清,王梓尘,赵梓彤,贾世忠,袁满,陈梅生,张景素,平坦,金子,张建军"
35,8.7,"犯罪,剧情,奇幻,悬疑",美国,绿里奇迹,"汤姆·汉克斯,大卫·摩斯,迈克·克拉克·邓肯,邦尼·亨特,詹姆斯·克伦威尔,迈克尔·杰特,格雷厄姆·格林,道格·休切逊,山姆·洛克威尔,巴里·佩珀,杰弗里·德曼,派翠西娅·克拉克森,哈利·戴恩·斯坦通,戴布思·格里尔,伊芙·布伦特,布赖恩·利比,葆拉·马尔科姆森,Toy Spears,加里·西尼斯,布兰特·布里斯科,Tim Smith,范·埃佩尔森,Robert Malone,泰德·霍利斯,Edrie Warner,Todd Thompson,Rai Tasco,Garth Shaw,比尔·麦金尼,史考蒂·莱文沃斯,加里·英霍夫,Dono Langley,Christopher Joel Ives,菲尔霍恩,威廉姆·赛德勒"
