rank,score,types,regions,title,actors
26,9.1,"剧情,爱情,战争",苏联,士兵之歌,"弗拉迪米尔·伊瓦绍夫,然娜·普罗霍连科,安东宁娜·马克西莫娃,尼古拉·克留奇科夫,叶甫盖尼·乌尔班斯基,艾尔莎·拉兹金,亚历山大·库兹涅佐夫,耶维热尼·泰特林,瓦伦蒂娜·马克瓦,玛丽娜·克雷尼尔娃,弗拉基米尔·伯克洛夫斯基,格奥尔吉·尤玛托夫,根纳季·尤赫金,瓦伦蒂娜·特莱吉纳,列夫·鲍里索夫,列昂尼德·丘巴罗夫,弗拉基米尔·卡什普尔,谢苗·斯瓦申科,Nina Menshikova,Valentin Bryleyev,叶甫根尼·耶夫斯基格涅耶夫,尤里·杜布罗温"
27,9.1,"剧情,历史,爱情,战争",苏联,战争与和平,"谢尔盖·邦达尔丘克,柳德米拉·萨维里耶娃,维亚切斯拉夫·吉洪诺夫,安娜斯塔西亚·维尔金斯卡娅,安东宁娜·舒拉诺娃,鲍里斯·扎哈瓦,阿纳托利·克托罗夫,奥列格·塔巴科夫,维克托·斯坦尼岑,伊琳娜·斯科布采娃,瓦西里·兰诺沃依,琪拉·戈洛夫科,伊琳娜·古巴诺娃,亚历山大·费·鲍里索夫,奥列格·叶夫列莫夫,朱利·乔霍涅利泽,弗拉季斯拉夫·斯特尔热利奇克,安格林娜·斯捷潘诺娃,尼古拉·特罗菲莫夫,尼古拉·雷布尼科夫,爱德华·马尔采维奇,叶莲娜·佳普金娜,诺娜·莫尔久科娃,彼得·萨温,谢苗·斯瓦申科,谢尔盖·尼科年科,丹尼尔·涅特列宾,阿列克谢·格拉济林,伊万·热瓦戈,加琳娜·克拉夫琴科,尼古拉·格林科,斯坦尼斯拉夫·切坎,列夫·波利亚科夫,杰玛·菲尔索娃,安德烈·斯米尔诺夫,亚历山大·斯米尔诺夫,尼古拉·布勃诺夫,格奥尔基·米利亚尔,罗季翁·亚历山德罗夫,伊娅·阿列比娜,玛丽亚·卡普尼斯特,尼古拉·库图佐夫,尼基塔·米哈尔科夫"
28,9.0,"剧情,喜剧,爱情",美国,怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,安东尼·爱德华兹,约翰·马奥尼,佩内洛普·安·米勒,艾丹·奎因,凯文·韦斯曼,摩根·莉莉,瑞安·克茨纳,吉莉安·普法夫,迈克尔·博萨,博·勒纳,杰奎琳·埃沃拉,泰勒·格鲁秀斯,艾莉·布莱恩特,阿什莉·泰勒,伊瑟尔·布罗萨德,科迪·霍恩,迈克尔·博尔顿,肖恩·哈珀,斯戴芬妮·斯考特,帕特丽夏·伦茨,马修·戈尔德,阿罗拉·凯瑟琳·史密斯,凯莉·唐纳利,索菲亚·撒高,米歇尔·梅斯默,Scott Joel Gizicki,Rod Myers,Kara Pacitto,Katelyn Pacitto"
29,9.0,"喜剧,爱情,奇幻,古装","香港,中国大陆",大话西游之月光宝盒,"周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚,江约诚,陆树铭,刘镇伟,朱茵,李健仁,许敬义,胡立成,蔡少芬"
30,9.0,"喜剧,剧情,爱情",美国,罗马假日,"奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,哈特利·鲍尔,哈考特·威廉姆斯,Margaret Rawlings,托里奥·卡米纳提,Paolo Carlini,Claudio Ermelli,保拉·布鲁布尼,里佐·弗雷多里佐,Laura Solari,Gorella Gori,Armando Annuale,毛里齐奥·阿雷纳,Silvio Bagolini,Gildo Bocci,Franco Corsaro,John Cortay,Vittoria Crispo,Sidney Gordon,Luigi Moneta,Piero Pastore,米莫·波利,Carlo Rizzo,Gianna Segale,阿梅代奥·特里利,Helen Tubbs,Marco Tulli,Joop van Hulzen,Catherine Wyler,Judy Wyler,陆建艺,金毅"
31,9.0,"剧情,传记,爱情,歌舞",美国,音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克,理查德·海顿,佩吉·伍德,查尔敏·卡尔,希瑟·孟席斯-尤里克,尼古拉斯·哈蒙德,杜安·蔡斯,安吉拉·卡特怀特,黛比·特纳,基姆·卡拉思,安娜·李,波希娅·纳尔逊,本·怀特,丹尼尔·特鲁希特,诺玛·威登,吉尔克里斯特·斯图尔特,马妮·尼克松,埃瓦德妮·贝克,多丽丝·劳埃德,格特鲁德·阿斯特,弗兰克·贝克,Steve Carruthers,山姆·哈里斯,Dorothy Jeakins,Leoda Richards,杰弗里·塞尔,Bernard Sell,Norman Stevans,Bert Stevens,Maria von Trapp,毕克,李梓"
32,9.0,"剧情,爱情,家庭","台湾,日本",一一,"李凯莉,金燕玲,张洋洋,萧淑慎,尾形一成,陈希圣,林孟瑾,陈以文,柯宇纶,柯素云,唐如韫,徐淑媛,陶传正,孙法钧,津田健次郎,江惠惠,李永丰,许安安,戴立忍,宋少卿,杨德昌,唐从圣,刘亮佐"
33,9.0,"喜剧,歌舞,爱情",美国,雨中曲,"吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯,简·哈根,米勒德·米切尔,赛德·查里斯,达格拉斯·福雷,丽塔·莫雷诺,道恩·艾达丝,John Albright,Betty Allen,Bette Arlen,David Bair,玛格丽特·伯特,Madge Blake,Gail Bonney,Chet Brandenburg,梅·克拉克,Harry Cody,Chick Collins,Pat Conway,Jeanne Coyne,Fred Datig Jr.,Kay Deslys,John Dodsworth,金·多诺万,Phil Dunham,海伦·艾比罗克,Richard Emory,Tommy Farrell,Ernie Flatt,贝丝·弗劳尔斯,罗伯特·福捷,Dan Foster,Robert Foulk,Eric Freeman,凯瑟琳·弗里曼,兰斯·富勒,杰克·乔治,John George,Inez Gorman,A. Cameron Grant,Beatrice Gray,William Hamel,山姆·哈里斯,Timmy Hawkins,Jean Heremans,斯图尔特·霍姆斯,肯纳G.肯普,迈克·拉里,乔伊·兰辛,William F. Leicester,Sylvia Lewis"
34,9.0,"剧情,爱情",韩国,我爱你,"宋在浩,李顺载,尹秀晶,金秀美,宋智孝,吴达洙,禹尚全,Jeong Eun-kyeong ,吉海妍,柳淳哲,赵在允,罗美兰,李凤莲,金光奎,金香起,金凡振 "
35,9.0,"剧情,传记,爱情","爱尔兰,加拿大",莫娣,"莎莉·霍金斯,伊桑·霍克,卡瑞·玛切特,加布里埃尔·罗斯,扎卡里·贝内特,比利·麦克莱伦,劳伦斯·巴里,格雷戈·马龙,玛丝·伯纳德,大卫·菲恩,凯特·罗斯"
36,9.0,"剧情,爱情","意大利,法国",卡比利亚之夜,"朱丽叶塔·马西纳,弗朗索瓦·佩里埃,弗兰卡·马尔齐,多里安·格雷,阿尔多·西尔瓦尼,恩尼奥·吉罗拉米,阿梅德奥·纳扎里,詹尼·巴吉诺,佛朗哥·巴尔杜奇,多米尼克·德卢什,佛朗哥·法布里齐,里卡尔多·费里尼,埃利奥·毛罗,尼诺·米拉诺,米莫·波利,波利多尔"
37,9.0,"剧情,爱情",瑞典,婚姻生活,"丽芙·乌曼,厄兰·约瑟夫森,古内尔·林德布洛姆,毕比·安德松,Wenche Foss,简·马尔姆斯,贝蒂尔·诺斯特伦,Anita Wall,Rossana Mariano,莱娜·贝格曼,英格玛·伯格曼,芭布洛·约尔特·阿夫·奥纳斯"
38,8.9,"剧情,爱情,奇幻",美国,本杰明·巴顿奇事,"凯特·布兰切特,布拉德·皮特,朱莉娅·奥蒙德,芳妮·A·钱勃丝,伊莱亚斯·科泰斯,杰森·弗莱明,大卫·詹森,蒂尔达·斯文顿,艾丽·范宁,乔安娜·塞勒,乔什·斯图沃特,丹尼·文森,塔拉吉·P·汉森,马赫沙拉·阿里,菲奥娜·黑尔,唐娜·杜普兰提尔,兰斯·E·尼克尔斯,特德·曼森,克莱·卡伦,菲利斯·萨莫维尔,杰瑞德·哈里斯,麦迪逊·贝蒂,汤姆·埃沃雷特,克里斯托弗·马克斯韦尔,伊利亚·沃里克,大卫·詹森,艾德里安·阿马斯,希洛·朱莉-皮特,维布尔·弗利茨杰拉德,艾玛·德吉斯泰德特,钱德勒·坎特布瑞"
39,8.9,"剧情,爱情",日本,情书,"中山美穗,丰川悦司,酒井美纪,柏原崇,范文雀,篠原胜之,铃木庆一,田口智朗,加贺麻理子,光石研,铃木兰兰,盐见三省,中村久美,梅田凡乃,长田江身子 ,小栗香织,神户浩,酒井敏也,山口诗史,山崎一,德井优,武藤寿美,童自荣"
40,8.9,"剧情,爱情,同性","香港,日本,韩国",春光乍泄,"张国荣,梁朝伟,张震,格利高里·戴顿"
